가맹점명,업종,주소,행정구역,지역구분,이용건수구간,이용금액구간,월요일,화요일,수요일,목요일,금요일,토요일,일요일,5시11시(아침),12시13시(점심),14시17시(오후),18시22시(저녁),23시4시(새벽),현지인이용건수비중,남성,여성,20대이하,30대,40대,50대,60대이상,URL
전철우고향랭면해장국 신제주직영점,단품요리 전문,제주 제주시 노형동 2282번지 1층,노형동,제주,3,3,10.42,16.24,11.8,15.79,14.27,15.55,15.93,19.3,40.06,24.03,16.61,0,67.43,60.51,39.49,4.03,13.66,26.94,29.77,25.58,https://pcmap.place.naver.com/place/1545548652/home
화덕앤그릴,단품요리 전문,제주 제주시 연동 1497-2번지 1층,연동,제주,1,2,18.33,13.73,14.62,12.52,17.21,14.7,8.89,0,0.48,2.05,75.58,21.89,65.91,68.06,31.94,8.52,12.04,34.71,36.36,8.36,https://pcmap.place.naver.com/place/1914973393/home
우등생 세번째 이야기,가정식,제주 제주시 이도이동 99-2번지 1층,이도이동,제주,3,5,13.19,12.62,13.55,12.53,15.41,16.48,16.22,2.33,9.56,5.47,81.33,1.31,85.32,61.84,38.16,5.66,32.62,38.41,14.48,8.82,https://pcmap.place.naver.com/place/1750584642/home
희신이네,가정식,제주 서귀포시 서홍동 1651-11번지,서홍동,서귀포,4,4,16.03,8.36,17.65,14.23,13.32,15.7,14.71,18.94,38.08,20.15,22.82,0,49.55,62.48,37.53,21.57,30.33,27.46,14.48,6.15,https://pcmap.place.naver.com/place/16896746/home
일또,단품요리 전문,제주 제주시 이도이동 408-1번지 2층,이도이동,제주,1,2,0,42.86,14.29,14.29,0,14.29,14.29,0,0,0,28.57,71.43,86.05,88.1,11.9,1.7,11.9,52.5,30.5,3.4,
스피닝울프,단품요리 전문,제주 서귀포시 성산읍 고성리 297-1번지 1층,성산읍,성산읍,4,3,12.58,14.22,12.09,12.58,15.82,18.08,14.63,0,0,0.08,81.37,18.55,5.15,47.95,52.05,34.25,40.56,15.34,7.77,2.07,https://pcmap.place.naver.com/place/525595743/home
거제도횟집,단품요리 전문,제주 제주시 건입동 1435-2번지,건입동,제주,1,3,17.97,9.98,11.49,16.4,11.55,18.49,14.13,1.84,2.95,14.38,76.41,4.42,15.12,67.11,32.89,10.54,22.6,24.04,30.46,12.35,
흑돼지한마당본점,가정식,제주 서귀포시 표선면 표선리 40-42번지,표선면,표선면,1,1,14.79,12.91,14.79,9.77,14.79,15.04,17.92,39.85,22.93,7.39,29.82,0,3.22,63,37,3.25,13.95,25.6,34.15,23.1,
표선1번회센타,단품요리 전문,제주 서귀포시 표선면 표선리 864-2번지,표선면,표선면,2,3,15.1,10.59,14.11,12.3,12.55,16.13,19.23,5.03,16.6,18.44,59.92,0,34.49,68.6,31.4,5.71,10.64,23.96,36.04,23.67,
생돈구이촌,가정식,제주 제주시 노형동 1277-5번지,노형동,제주,1,1,20.38,14.86,12.3,12.6,18.23,21.63,0,0,0,2.67,90.37,6.97,49.33,71.5,28.52,13.2,25.98,32.1,25.16,3.56,https://pcmap.place.naver.com/place/21425216/home
앙끄레국수,단품요리 전문,제주 서귀포시 법환동 876-1번지,법환동,서귀포,4,4,15.28,15.02,4.96,15.74,15.79,15.77,17.44,25.75,31.17,28.84,14.23,0,11.16,61.47,38.53,23.16,29.17,25.17,15.05,7.48,https://pcmap.place.naver.com/place/37228573/home
서서방숯불닭갈비,단품요리 전문,제주 제주시 연동 273-15번지 1층,연동,제주,4,5,10.1,13.9,9.92,13.6,14.88,19.48,18.11,0,3.35,7.27,73.74,15.63,44.44,60.39,39.61,29.76,30.36,22.15,14.14,3.6,https://pcmap.place.naver.com/place/1979345055/home
색달가든,단품요리 전문,제주 제주시 이도이동 1039-14번지,이도이동,제주,1,3,16.77,0.35,19.81,14.07,17.04,16.92,15.04,0,0,3.44,96.56,0,85.87,71.18,28.83,10.09,21.3,16.9,27.01,24.68,https://pcmap.place.naver.com/place/16707397/home
한길정,가정식,제주 서귀포시 서홍동 1733-31번지,서홍동,서귀포,1,2,9.15,9.77,20.4,18.92,12.05,7.27,22.44,1.25,11.65,5,82.1,0,34.85,63.8,36.2,9.1,20.08,25.95,27.53,17.38,https://pcmap.place.naver.com/place/16918429/home
헝그리닭발포차,단품요리 전문,제주 제주시 노형동 1065-8번지 1층,노형동,제주,2,1,14.54,13.31,10.29,14.61,13.26,15.65,18.35,0,0,0.97,68.74,30.3,86.56,56.43,43.59,23.86,28.54,25.46,18.89,3.25,https://pcmap.place.naver.com/place/1968161193/home
다원우,가정식,제주 제주시 외도일동 642-2번지 2층,외도일동,제주,2,3,22.99,14.78,17.36,15.32,13.83,15.72,0,6.98,37.71,15.86,39.45,0,82.81,55.73,44.28,2.73,10.81,31.13,28.9,26.4,https://pcmap.place.naver.com/place/36281070/home
영춘식당,가정식,제주 제주시 삼도일동 534-1번지 1층,삼도일동,제주,3,1,20,17.82,15.93,18.3,14.02,13.93,0,7.05,51.19,19.52,22.25,0,67.98,60.68,39.32,7.05,19.92,32.5,28.3,12.26,https://pcmap.place.naver.com/place/34621587/home
블리스풀,단품요리 전문,제주 제주시 애월읍 유수암리 1176번지 1동 1층,애월읍,애월읍,4,2,0.38,11.76,11.56,10.39,9.96,23.63,32.32,8.21,25.4,60.93,5.46,0,65.81,34.29,65.71,28.61,39.41,18.81,10.98,2.18,
함구삭당,가정식,제주 서귀포시 대정읍 하모리 770-7번지,대정읍,대정읍,4,5,3.98,14.98,16.98,15.92,13.36,16.91,17.87,5.82,25.47,24.03,44.68,0,22.3,62.18,37.82,11.7,15.48,21.31,30.43,21.09,
은진이네식당,가정식,제주 제주시 도두일동 2626-5번지,도두일동,제주,2,1,16.3,13.78,13.85,15.09,11.36,14.7,14.94,30.56,15.31,18.01,36.12,0,34.58,68.18,31.82,11.68,17.98,26.14,28.74,15.46,https://pcmap.place.naver.com/place/1104922093/home
철수네숯불갈비,가정식,제주 제주시 연동 460-5번지 1층,연동,제주,3,4,6.69,12.48,14.44,10.87,16.8,18.1,20.62,0,0,0.8,99.2,0,73.93,67.14,32.86,6.94,24.5,39.09,20.1,9.36,https://pcmap.place.naver.com/place/1895099299/home
초밥공장,단품요리 전문,제주 제주시 구좌읍 월정리 1896-13번지 1층,구좌읍,구좌읍,3,2,16.37,3.14,15.74,16.22,13.15,18.64,16.74,3.15,31.43,27.27,38.15,0,9.77,45.94,54.06,39.72,36.63,13.34,7.88,2.43,https://pcmap.place.naver.com/place/1495397867/home
유레카,단품요리 전문,제주 제주시 연동 1458-1번지 3층,연동,제주,1,3,7.6,16.26,18.96,10.8,9.83,14.36,22.18,0,0,0,11.2,88.8,72.58,86.86,13.15,0,36.15,43.54,6.64,13.65,
고집순두부연동본점,단품요리 전문,제주 제주시 연동 251-27번지 1층,연동,제주,3,2,17.03,17.02,17.06,14.06,16.66,0,18.17,24.39,29.87,13.94,31.79,0,48.85,55.87,44.13,10.8,17.09,21.9,28.27,21.94,
이서림,가정식,제주 제주시 삼도이동 1234-4번지,삼도이동,제주,1,3,10,21.82,12.04,12.06,25.27,10.77,8.04,0,0,0,91.8,8.2,80.34,72.94,27.06,6.51,23.89,35.07,23.7,10.81,https://pcmap.place.naver.com/place/16732460/home
오늘은 식당,가정식,제주 서귀포시 하예동 1829-4번지,하예동,서귀포,2,4,17.45,0.88,14.14,17.83,17.37,17.67,14.66,2.57,31.86,8.23,57.34,0,21.94,61.44,38.56,9.44,20.38,26.02,28.08,16.09,https://pcmap.place.naver.com/place/35483164/home
에이바우트커피 올레시장점,커피,제주 서귀포시 서귀동 423-9번지 1층,서귀동,서귀포,6,3,13.29,15.55,14.37,14.61,15.41,14.47,12.3,22.95,14.89,22.97,32.83,6.36,51.54,47.59,52.41,31.71,22.29,22.98,16.88,6.14,https://pcmap.place.naver.com/place/1287287186/home
다인가든,단품요리 전문,제주 제주시 애월읍 고내리 79-8번지,애월읍,애월읍,2,4,10.5,12.49,13.59,12.6,16,20.08,14.74,0,0,3.66,96.34,0,4.27,56.56,43.44,8.16,20.34,37.1,26.83,7.57,https://pcmap.place.naver.com/place/1911808131/home
제주국담,가정식,제주 제주시 연동 292-45번지,연동,제주,3,2,12.33,0.6,17.23,15.79,18.45,17.2,18.4,25.52,26.86,17.2,30.42,0,13.23,58.23,41.77,21.95,37.01,21.52,13.59,5.91,https://pcmap.place.naver.com/place/1779984568/home
야시장이동식판매대(27호),단품요리 전문,제주 제주시 이도일동 1329-6번지,이도일동,제주,5,2,13.79,12.34,13.63,14.04,15.07,16.71,14.43,0.49,1.46,6.4,91.44,0.21,2.87,47.5,52.5,40.72,26.32,19.14,11,2.83,
김씨네음식점,가정식,제주 서귀포시 서귀동 302-14번지,서귀동,서귀포,3,3,18.86,15.39,12.87,14.06,15.28,2.27,21.27,16.59,33.67,23.01,26.72,0,75.59,58.27,41.73,4.18,13.73,27.41,30.74,23.94,https://pcmap.place.naver.com/place/16896615/home
복덩이숯불갈비,가정식,제주 서귀포시 동홍동 1580-2번지 1층,동홍동,서귀포,5,6,16.27,14,13.02,0.7,16.22,17.82,21.96,2.7,16.24,26.72,54.35,0,78.43,49.72,50.28,3.56,17.18,30.04,26.73,22.5,https://pcmap.place.naver.com/place/1310663644/home
해지개,단품요리 전문,제주 제주시 애월읍 애월리 2555번지 2층,애월읍,애월읍,6,6,14.05,13.83,12.76,13.16,13.25,16.6,16.35,17.44,28.37,47.06,7.14,0,5.75,41.23,58.78,29.52,30.64,18.78,15.78,5.28,https://pcmap.place.naver.com/place/1412199535/home
왕서방,중식,제주 제주시 애월읍 신엄리 757-2번지,애월읍,애월읍,4,3,15.45,16.79,14.13,14.41,14.22,17.14,7.86,12.86,38.42,32.35,16.37,0,60.31,67.87,32.13,7.42,23.13,33.44,23.26,12.78,https://pcmap.place.naver.com/place/1313072100/home
돈이랑성산점,가정식,제주 서귀포시 성산읍 고성리 331-2번지,성산읍,성산읍,3,5,14.04,13.34,15.25,8.43,15.01,15.96,17.98,0,3.75,8.69,86.93,0.63,2.66,52.9,47.1,28.12,33.93,18.28,14.72,4.99,https://pcmap.place.naver.com/place/37157723/home
미미,가정식,제주 제주시 애월읍 하귀2리 1911-1번지 1층,애월읍,애월읍,3,2,20.79,19.27,16.38,11.29,18.37,0,13.9,27.41,40.49,11.75,20.36,0,64.04,70.4,29.6,6.35,18.18,28.61,33.04,13.8,
수선화식당,단품요리 전문,제주 제주시 이도이동 409-7번지,이도이동,제주,4,3,17.62,15.54,16,16.09,17.37,0,17.36,22.77,38.67,16.91,21.66,0,85.17,75.78,24.22,6.68,13.73,25.47,34.19,19.91,
배스킨라빈스제주함덕점,베이커리,제주 제주시 조천읍 함덕리 1004-28번지 1층,조천읍,조천읍,5,4,11.86,12.43,12.31,12.93,14.06,19.45,16.96,4.07,8.86,24.96,61.6,0.52,26.14,48.13,51.88,19.8,31.03,33.59,11.91,3.68,https://pcmap.place.naver.com/place/1981990302/home
스테이위드커피 주식회사,단품요리 전문,제주 서귀포시 안덕면 사계리 2147-1번지 2층,안덕면,안덕면,4,3,13.94,13.9,13.99,11.07,12.49,16.35,18.26,23.98,28.81,46.94,0.27,0,41.51,44.58,55.43,17.05,34.93,24.54,17.62,5.85,
꽃담수제버거,햄버거,제주 서귀포시 성산읍 성산리 111번지,성산읍,성산읍,4,3,13.69,13.19,15.26,12.52,13.97,15.71,15.67,25.26,33.58,35.33,5.83,0,3.21,54.55,45.45,22.79,26.08,27.92,17.47,5.76,https://pcmap.place.naver.com/place/1189743089/home
푸주옥도남점,가정식,제주 제주시 도남동 74번지,도남동,제주,5,5,12.59,14.39,13.76,12.56,13.87,17.07,15.76,19.72,26.17,19.48,34.34,0.29,82.17,61.72,38.28,5.5,20.14,30.01,27.02,17.35,https://pcmap.place.naver.com/place/16812689/home
컴포즈커피토평점,커피,제주 서귀포시 토평동 1277-1번지 1층,토평동,서귀포,5,1,12.89,13.71,14.35,14.1,14.69,14.96,15.31,37.45,25.53,25.47,11.55,0,60.28,56.32,43.68,11.27,23.5,34.68,22.46,8.13,https://pcmap.place.naver.com/place/1415514232/home
제리스펍 제주서귀포점,양식,제주 서귀포시 서귀동 716-5번지 2층,서귀동,서귀포,2,3,11.98,15.08,14.6,15.44,11.56,19.47,11.86,0,1.32,0.66,44.81,53.21,41.33,57.73,42.28,24.33,31.5,28.18,11.95,4.03,https://pcmap.place.naver.com/place/205326161/home
모도리,가정식,제주 서귀포시 대정읍 보성리 2476-13번지 제주이노에듀타운 B106호,대정읍,대정읍,3,3,27.04,20.85,20.6,17.52,13.73,0.25,0,0.96,12,82.74,4.3,0,48.75,28.96,71.04,0.76,18.18,60.05,16.92,4.06,https://pcmap.place.naver.com/place/1245818642/home
덕성식당,가정식,제주 서귀포시 안덕면 사계리 2130번지,안덕면,안덕면,2,2,13.59,15.27,16.02,13.84,13.11,11.53,16.63,16.74,31.97,25.49,25.8,0,9.88,51.47,48.53,14.43,18.14,19.64,30.01,17.81,https://pcmap.place.naver.com/place/1817839703/home
대정고을식당,가정식,제주 서귀포시 대정읍 인성리 251-1번지,대정읍,대정읍,3,2,17.78,17.49,17.05,15.42,16.75,15.5,0,23.27,67.81,8.92,0,0,37.13,69.69,30.31,11.7,19.65,30.99,24.14,13.52,https://pcmap.place.naver.com/place/16939739/home
중문솥뚜껑,가정식,제주 서귀포시 대포동 2530번지,대포동,서귀포,1,3,10.95,12.53,16.35,17.51,18,15.13,9.51,0,2.87,12.37,84.76,0,7.93,59.93,40.08,16.74,26.89,28.76,19.35,8.28,https://pcmap.place.naver.com/place/34510544/home
제성제과올레시장점,단품요리 전문,제주 서귀포시 서귀동 275-37번지 1층,서귀동,서귀포,6,4,14.06,13.47,14.26,13.36,13.63,15.54,15.68,0.99,12.53,37.7,48.78,0,3.04,48.23,51.77,23.83,28.81,24.87,16.96,5.53,https://pcmap.place.naver.com/place/1231973709/home
로컬제주이야기카페,커피,제주 제주시 용담삼동 1020-5번지 3층,용담삼동,제주,2,1,15.07,6.87,19.14,14.9,15.55,12.27,16.2,16.71,37.63,39.78,4.41,1.47,11.46,51.8,48.2,12.55,14.9,24.5,33.15,14.9,https://pcmap.place.naver.com/place/1693267858/home
옵데강숯불갈비2호점,가정식,제주 제주시 삼도이동 1247-11번지 1층,삼도이동,제주,1,2,11.37,18.5,14.22,14.25,10.6,16.39,14.67,0.53,1.99,9.99,87.49,0,58.39,68.37,31.63,4.12,11.38,23.05,44.42,17.05,
서진돈까스,단품요리 전문,제주 서귀포시 성산읍 성산리 181-2번지 1층,성산읍,성산읍,1,1,13.4,14.89,7.43,10.65,17.26,26.11,10.26,9.77,22.83,40.77,26.62,0,30.19,54.78,45.22,13.43,32.7,28.88,16.23,8.75,
군산소문난해물칼국수,단품요리 전문,제주 제주시 이도이동 314-14번지,이도이동,제주,4,4,0.12,16.29,16.93,14.1,15.1,18.52,18.93,11.07,41.75,26.49,20.68,0,87.2,50.49,49.51,4.51,11.6,26.16,30.99,26.75,
에프터 글로우,단품요리 전문,제주 제주시 아라이동 1200-2번지 1층,아라이동,제주,4,1,1.12,17.44,14.98,13.47,16.92,20.65,15.42,20.13,37.51,41.99,0.37,0,80.57,34.4,65.6,23.4,46.45,19.2,8.2,2.7,https://pcmap.place.naver.com/place/37761449/home
안녕협재씨 제주협재점,가정식,제주 제주시 한림읍 협재리 1450-1번지,한림읍,한림읍,5,5,12.87,15.85,14.95,13.89,13.66,14.96,13.82,42.51,40.43,17.06,0,0,2.14,44.76,55.24,40.07,29.4,15.38,11.53,3.61,
빵귿,베이커리,제주 제주시 이도이동 2026-18번지 1층,이도이동,제주,6,6,13.54,16.79,16.75,16.17,16.69,20.06,0,18.66,31.22,45.33,4.79,0,44.94,29.03,70.97,23.8,35.58,25.07,12.56,2.98,https://pcmap.place.naver.com/place/320930171/home
크라운호프제주일도점,맥주/요리주점,제주 제주시 일도이동 49-2번지 가나다주택 1층 102호,일도이동,제주,3,3,2.3,6.19,12.3,15.19,19.67,22.06,22.29,0,0,0.56,61.31,38.12,87.47,79.62,20.38,10.84,27.22,38.16,19.33,4.44,https://pcmap.place.naver.com/place/1113122116/home
내담,가정식,제주 서귀포시 서호동 1472-4번지,서호동,서귀포,2,2,19.71,17.36,15.53,13.19,15.02,19.19,0,0,1.22,17.25,81.53,0,66.88,58.55,41.45,5.22,12.5,30.77,34.25,17.26,https://pcmap.place.naver.com/place/31338787/home
제이팩토리,단품요리 전문,제주 서귀포시 토평동 1797번지 토평동,토평동,서귀포,5,2,14.72,13.29,13.27,14.23,11.86,15.27,17.35,23.39,30.73,45.83,0.05,0,2.7,55.07,44.93,24.15,21.95,36.7,14.05,3.15,https://pcmap.place.naver.com/place/1000545498/home
용두암 엄마 해장국,단품요리 전문,제주 제주시 용담삼동 519-9번지 1층,용담삼동,제주,4,4,16.27,15.66,0,16.29,14.18,17.52,20.09,64.91,24.12,10.33,0.63,0,10.26,59.93,40.07,15.26,22.78,27.62,24.15,10.22,https://pcmap.place.naver.com/place/1549790248/home
민박사봉평막국수,단품요리 전문,제주 제주시 삼양이동 2181-18번지,삼양이동,제주,3,2,18.72,13.02,12.43,7.54,13.89,15.73,18.67,6.96,38.48,21.65,32.91,0,82.05,58.7,41.3,5.44,16.03,25.59,26.29,26.64,https://pcmap.place.naver.com/place/1427597120/home
숙성돈가,가정식,제주 서귀포시 중문동 2451번지 1층,중문동,서귀포,3,5,12.97,15.7,6.88,17.19,17.33,14.5,15.43,3.17,14.29,15.88,66.66,0,11.12,60.08,39.92,13.33,27.53,30.9,18.44,9.79,https://pcmap.place.naver.com/place/1471070608/home
네네치킨남원점,치킨,제주 서귀포시 남원읍 남원리 2494번지 서귀포남원엘에이치아파트 상가동 1층 103호,남원읍,남원읍,2,1,17.61,2.61,14.15,20.22,12.06,16.99,16.36,0,0,19.38,80,0.63,65.33,55.13,44.88,8.3,25.13,39,19.8,7.85,https://pcmap.place.naver.com/place/1439336156/home
흑돼지제주정,가정식,제주 서귀포시 표선면 표선리 40-41번지 1호,표선면,표선면,3,4,12.36,15.15,12.97,13.83,14.2,15.99,15.5,0.21,3.22,11.07,85.24,0.26,1.62,59.86,40.14,8.98,26.84,34.28,19.38,10.48,https://pcmap.place.naver.com/place/353301292/home
픽미픽미아이스 제주아라점,아이스크림/빙수,제주 제주시 아라일동 6121번지 아라아이파크아파트 110호,아라일동,제주,4,1,13.79,12.8,14.86,13.19,12.57,17.75,15.04,6.46,7.57,26.16,57.13,2.68,85.11,48.79,51.21,13.1,21.94,43.86,18.29,2.81,
풍년내장탕해장국,단품요리 전문,제주 제주시 연동 292-18번지 1층,연동,제주,4,3,13.18,16.13,0,15.22,15.49,18.26,21.72,64.32,29.09,6.59,0,0,47.99,73.67,26.33,6.53,16.84,26.38,32.21,18.06,https://pcmap.place.naver.com/place/1013215898/home
어머니빵집,베이커리,제주 제주시 연동 2325-7번지 연동한일씨티파크 1층 106호,연동,제주,5,4,14.23,13.75,14.2,14.35,13.96,15.72,13.8,29.63,14.27,29.58,26.53,0,44.49,40.96,59.04,16.79,26.55,26.45,21.42,8.82,https://pcmap.place.naver.com/place/16712592/home
순수한둠비연동점,가정식,제주 제주시 노형동 939-4번지 영보아파트 502호,노형동,제주,4,3,16.49,0,15.61,14.67,15.73,15.73,21.77,15.95,35.98,22.74,25.32,0,65.55,49.04,50.96,3.73,13.34,29.72,35.83,17.4,
회가서쪽에서뜨겠네,단품요리 전문,제주 제주시 애월읍 애월리 2454-1번지 1층,애월읍,애월읍,4,6,12.53,13.42,12.82,12.44,15,18.7,15.09,0.44,5.35,17.3,76.75,0.14,1.19,48.89,51.11,39.96,29.03,13.69,12.89,4.39,https://pcmap.place.naver.com/place/1776032984/home
조아라 아구찜 본점,일식,제주 제주시 용담이동 796-23번지,용담이동,제주,3,4,0,16.36,18.62,15.62,14.55,17,17.84,4.42,36.44,23.68,35.47,0,70.58,66.73,33.27,1.88,5.78,21.31,33.68,37.33,
교촌치킨 아라이도점,치킨,제주 제주시 이도이동 1970-24번지 1층,이도이동,제주,3,1,11.18,11.66,11.32,14.99,16.3,19.01,15.54,0,3.43,16.45,68.53,11.6,89.08,55.02,44.98,7.3,20.02,36.58,27.3,8.82,
